,Unnamed: 0.1,Unnamed: 0,customer_id,first_name,last_name,email,subscription_type,plan_type,auto_renew,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,discount_used_last_renewal,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,previous_renewal_status,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,subscription_start_date,subscription_end_date,csat_score,customer_age,gender,signup_source,payment_method,downgrade_history,subscription_status,Phone,full_name,churn_score,churn_risk
16,16,16,EC-2022-000017,Janet,Sanchez,janet_sanchez@gmail.com,Digital+Print,Monthly,Yes,2.2,13,1,No,0.33,14.28,North America,Finance,0.8,1,Mobile,Auto,No Data,0.53,-18,-0.02,2022-10-04 05:54:16.425458,2023-10-04 05:54:16.425458,3,33,Female,Web,Credit Card,No,Active,+1-750-977-6141,Janet Sanchez,3.3579658e-05,Low
17,17,17,EC-2024-000018,Kenneth,Hill,kenneth_hill@hotmail.com,Digital,Monthly,Yes,0.44,2,1,No,0.03,4.86,Europe,Technology,0.48,0,Mobile,Manual,Retention Offer,0.25,10,1.04,2024-01-10 05:54:16.425462,2025-01-09 05:54:16.425462,5,20,Male,Web,Credit Card,No,Active,+44-7454992836,Kenneth Hill,0.046766404,Medium
18,18,18,EC-2023-000019,Ashley,Moore,ashley_moore@hotmail.com,Digital,Annual,No,1.33,29,0,Yes,0.34,5.65,Europe,Technology,0.36,1,Tablet,Auto,No Data,0.26,66,-0.96,2023-01-08 05:54:16.425467,2024-01-08 05:54:16.425467,4,54,Female,Mobile App,Credit Card,No,Cancelled,+44-7045325888,Ashley Moore,0.99835676,Churned
19,19,19,EC-2025-000020,Rebecca,Brown,rebecca_brown@mail.com,Digital,Monthly,Yes,4.85,27,1,No,0.8,20.24,North America,Culture,0.36,1,Mobile,Auto,No Data,0.24,-77,0.56,2025-04-04 05:54:16.425471,2026-04-04 05:54:16.425471,5,49,Female,Mobile App,PayPal,No,Active,+1-892-495-5625,Rebecca Brown,0.0007322768,Low
20,20,20,EC-2022-000021,Paul,Garcia,paul_garcia@outlook.com,Espresso,Monthly,Yes,2.77,16,2,Yes,0.9,17.0,Europe,Politics,0.6,0,Desktop,Manual,No Data,0.16,-51,0.49,2022-12-31 05:54:16.425475,2023-12-31 05:54:16.425475,3,38,Male,Web,Credit Card,No,Active,+44-7680269856,Paul Garcia,0.0061974647,Low
21,21,21,EC-2023-000022,Elizabeth,Brown,elizabeth_brown@hotmail.com,Digital,Monthly,Yes,2.18,2,1,No,0.52,9.87,Asia,Culture,0.96,1,Desktop,Auto,Newsletter Promo,0.3,-64,0.6,2023-09-24 05:54:16.425479,2024-09-23 05:54:16.425479,1,62,Female,Web,Credit Card,No,Active,+91-7584325995,Elizabeth Brown,4.7762336e-05,Low
22,22,22,EC-2023-000023,William,Wright,william_wright@hotmail.com,Digital,Annual,Yes,3.24,15,1,No,0.46,11.03,Asia,Finance,0.45,1,Desktop,Manual,Newsletter Promo,0.18,80,0.54,2023-01-25 05:54:16.425483,2024-01-25 05:54:16.425483,4,35,Male,Web,Debit Card,No,Active,+91-7832249828,William Wright,2.0038045e-05,Low
23,23,23,EC-2024-000024,Jack,White,jack_white@mail.com,Espresso,Annual,No,3.75,13,1,No,0.03,7.48,Others,Finance,0.48,0,Mobile,Manual,Survey,0.08,-76,0.12,2024-09-18 05:54:16.425488,2025-09-18 05:54:16.425488,1,65,Male,Web,Credit Card,No,Active,+57-8977569617,Jack White,0.0002941977,Low
24,24,24,EC-2024-000025,Jacob,White,jacob_white@gmail.com,Digital+Print,Annual,Yes,4.68,29,3,No,0.88,11.73,Europe,Finance,0.37,3,Mobile,Manual,No Data,0.35,-8,-0.15,2024-11-20 05:54:16.425492,2025-11-20 05:54:16.425492,1,63,Male,Web,Credit Card,No,Active,+44-7067447575,Jacob White,0.0024486457,Low
25,25,25,EC-2023-000026,Stephanie,Ramirez,stephanie_ramirez@icloud.com,Digital+Print,Monthly,No,5.17,19,2,No,0.01,7.13,Others,Finance,0.72,0,Mobile,Auto,Retention Offer,0.33,24,-0.31,2023-02-01 05:54:16.425497,2024-02-01 05:54:16.425497,3,28,Female,Mobile App,PayPal,No,Cancelled,+93-6325690132,Stephanie Ramirez,0.9951147,Churned
26,26,26,EC-2025-000027,Kimberly,Lewis,kimberly_lewis@mail.com,Digital,Annual,Yes,2.46,28,0,Yes,0.94,1.87,Asia,Environment,0.78,2,Desktop,Auto,Retention Offer,0.28,-70,0.29,2025-02-13 05:54:16.425501,2026-02-13 05:54:16.425501,5,67,Female,Web,PayPal,No,Active,+91-9241302937,Kimberly Lewis,0.00029540854,Low
27,27,27,EC-2024-000028,Dorothy,Taylor,dorothy_taylor@mail.com,Digital+Print,Annual,Yes,1.01,12,0,Yes,0.49,4.71,North America,Finance,0.75,1,Desktop,Auto,Survey,0.26,-9,-0.0,2024-12-12 05:54:16.425506,2025-12-12 05:54:16.425506,1,25,Female,Web,Credit Card,No,Active,+1-260-887-9514,Dorothy Taylor,0.033883873,Medium
28,28,28,EC-2022-000029,Patricia,Lewis,patricia_lewis@mail.com,Digital+Print,Monthly,No,2.38,14,1,Yes,0.34,10.08,North America,Environment,0.9,2,Desktop,Auto,Retention Offer,0.27,-63,-0.11,2022-10-24 05:54:16.425510,2023-10-24 05:54:16.425510,2,29,Female,Mobile App,PayPal,No,Active,+1-902-210-2276,Patricia Lewis,0.0014417225,Low
29,29,29,EC-2024-000030,Edward,Garcia,edward_garcia@icloud.com,Digital,Annual,Yes,3.39,13,1,Yes,0.92,5.48,Europe,Politics,0.64,0,Desktop,Auto,No Data,0.47,26,-0.28,2024-01-06 05:54:16.425514,2025-01-05 05:54:16.425514,5,68,Male,Web,Credit Card,No,Active,+44-7843877861,Edward Garcia,8.914194e-05,Low
30,30,30,EC-2023-000031,Mark,Rodriguez,mark_rodriguez@yahoo.com,Digital,Monthly,No,1.55,23,1,Yes,0.02,9.73,Europe,Technology,0.39,0,Mobile,Auto,Newsletter Promo,0.07,-43,-0.2,2023-10-24 05:54:16.425519,2024-10-23 05:54:16.425519,4,69,Male,Mobile App,Debit Card,No,Cancelled,+44-7056101433,Mark Rodriguez,0.99994564,Churned
31,31,31,EC-2024-000032,Raymond,Johnson,raymond_johnson@yahoo.com,Digital,Monthly,Yes,1.56,24,0,No,0.58,5.7,Europe,Culture,0.5,0,Mobile,Manual,No Data,0.07,80,0.39,2024-06-30 05:54:16.425523,2025-06-30 05:54:16.425523,5,19,Male,Mobile App,PayPal,No,Cancelled,+44-7237076266,Raymond Johnson,0.9938613,Churned
32,32,32,EC-2022-000033,Andrew,Taylor,andrew_taylor@outlook.com,Espresso,Monthly,Yes,3.52,18,2,Yes,0.55,6.87,Europe,Technology,0.76,1,Desktop,Auto,No Data,0.66,13,0.01,2022-11-01 05:54:16.425527,2023-11-01 05:54:16.425527,3,58,Male,Web,Credit Card,No,Active,+44-7962793584,Andrew Taylor,0.0031222145,Low
33,33,33,EC-2024-000034,Christine,Walker,christine_walker@mail.com,Digital,Monthly,Yes,2.93,5,1,No,0.22,13.41,Asia,Technology,0.73,0,Mobile,Manual,No Data,0.71,-51,0.6,2024-04-07 05:54:16.425532,2025-04-07 05:54:16.425532,3,39,Female,Web,Credit Card,No,Active,+91-7041686613,Christine Walker,5.9082315e-05,Low
34,34,34,EC-2024-000035,Amanda,Wright,amanda_wright@mail.com,Digital,Monthly,Yes,3.05,9,1,No,0.43,10.99,Europe,Technology,0.67,1,Mobile,Manual,Retention Offer,0.3,31,-0.68,2024-01-13 05:54:16.425536,2025-01-12 05:54:16.425536,4,26,Female,Web,Credit Card,Yes,Active,+44-7092578838,Amanda Wright,1.2034883e-05,Low
35,35,35,EC-2024-000036,Kevin,Flores,kevin_flores@mail.com,Digital,Monthly,Yes,1.86,26,1,No,0.65,9.96,North America,Culture,0.78,0,Mobile,Auto,No Data,0.49,-9,0.31,2024-05-30 05:54:16.425541,2025-05-30 05:54:16.425541,4,31,Male,Mobile App,PayPal,No,Cancelled,+1-372-470-8627,Kevin Flores,0.99663854,Churned
36,36,36,EC-2024-000037,Stephen,Green,stephen_green@yahoo.com,Digital,Monthly,No,2.65,14,0,No,0.73,13.52,Asia,Culture,0.75,0,Mobile,Auto,Newsletter Promo,0.2,79,-0.5,2024-06-24 05:54:16.425545,2025-06-24 05:54:16.425545,4,32,Male,Mobile App,PayPal,No,Active,+91-8904535263,Stephen Green,0.0011932617,Low
37,37,37,EC-2023-000038,Brenda,Hall,brenda_hall@gmail.com,Digital+Print,Annual,No,1.61,20,0,No,0.0,11.92,North America,Politics,0.92,0,Mobile,Auto,Survey,0.53,58,0.6,2023-11-18 05:54:16.425549,2024-11-17 05:54:16.425549,3,28,Female,Mobile App,Debit Card,No,Cancelled,+1-254-705-6014,Brenda Hall,0.98697215,Churned
38,38,38,EC-2022-000039,Carol,Jones,carol_jones@icloud.com,Digital+Print,Monthly,No,4.34,21,2,Yes,0.94,15.79,Others,Culture,0.71,2,Desktop,Manual,No Data,0.11,-23,0.62,2022-11-24 05:54:16.425553,2023-11-24 05:54:16.425553,5,30,Female,Referral,Credit Card,No,Cancelled,+46-5468553205,Carol Jones,0.99723995,Churned
39,39,39,EC-2023-000040,Betty,Roberts,betty_roberts@icloud.com,Digital+Print,Monthly,No,4.55,19,0,No,0.16,8.16,North America,Finance,0.85,1,Tablet,Auto,No Data,0.29,41,-0.71,2023-05-29 05:54:16.425558,2024-05-28 05:54:16.425558,1,45,Female,Mobile App,PayPal,No,Cancelled,+1-478-264-5353,Betty Roberts,0.99441916,Churned
40,40,40,EC-2023-000041,Edward,Rivera,edward_rivera@outlook.com,Digital+Print,Monthly,Yes,0.23,25,0,No,0.23,8.28,Others,Politics,0.47,1,Desktop,Auto,Retention Offer,0.2,28,-0.38,2023-11-06 05:54:16.425562,2024-11-05 05:54:16.425562,1,42,Male,Mobile App,Credit Card,No,Cancelled,+68-2722244009,Edward Rivera,0.9928396,Churned
41,41,41,EC-2024-000042,Sandra,Young,sandra_young@icloud.com,Digital+Print,Annual,Yes,1.61,5,2,No,0.26,4.8,North America,Culture,0.77,0,Tablet,Auto,No Data,0.02,-58,-0.36,2024-11-17 05:54:16.425567,2025-11-17 05:54:16.425567,2,54,Female,Web,Credit Card,Yes,Active,+1-467-845-7442,Sandra Young,0.0004160201,Low
42,42,42,EC-2022-000043,Andrew,Torres,andrew_torres@yahoo.com,Espresso,Monthly,Yes,0.76,22,1,No,0.04,8.28,North America,Finance,0.93,1,Tablet,Manual,Newsletter Promo,0.08,17,0.63,2022-11-13 05:54:16.425572,2023-11-13 05:54:16.425572,3,23,Male,Web,PayPal,No,Cancelled,+1-920-784-9407,Andrew Torres,0.99608386,Churned
43,43,43,EC-2023-000044,Pamela,Moore,pamela_moore@gmail.com,Digital+Print,Monthly,No,2.02,24,2,No,0.12,13.86,North America,Culture,0.57,0,Desktop,Manual,Newsletter Promo,0.21,-42,-0.3,2023-01-21 05:54:16.425575,2024-01-21 05:54:16.425575,4,54,Female,Web,Credit Card,No,Cancelled,+1-356-287-1240,Pamela Moore,0.9978823,Churned
44,44,44,EC-2022-000045,Justin,Jones,justin_jones@hotmail.com,Digital+Print,Annual,Yes,2.87,9,0,No,0.99,15.2,Asia,Politics,0.85,1,Mobile,Auto,Retention Offer,0.22,-40,0.35,2022-09-20 05:54:16.425580,2023-09-20 05:54:16.425580,5,50,Male,Mobile App,Credit Card,No,Active,+91-9099429228,Justin Jones,1.34595675e-05,Low
45,45,45,EC-2025-000046,Joshua,Baker,joshua_baker@icloud.com,Digital,Monthly,Yes,0.83,6,1,No,0.32,13.84,Asia,Politics,0.81,0,Desktop,Auto,Retention Offer,0.28,-60,-0.33,2025-03-05 05:54:16.425584,2026-03-05 05:54:16.425584,3,42,Male,Web,PayPal,No,Active,+91-8299544566,Joshua Baker,0.0060795704,Low
46,46,46,EC-2023-000047,Laura,Sanchez,laura_sanchez@yahoo.com,Digital,Monthly,No,1.62,21,0,No,0.12,2.82,Europe,Finance,0.34,0,Mobile,Auto,Retention Offer,0.52,-83,0.54,2023-03-05 05:54:16.425588,2024-03-04 05:54:16.425588,2,67,Female,Mobile App,Credit Card,Yes,Cancelled,+44-7347790995,Laura Sanchez,0.9999008,Churned
47,47,47,EC-2024-000048,Jason,Anderson,jason_anderson@outlook.com,Digital,Monthly,Yes,1.49,16,5,Yes,0.11,14.33,Others,Politics,0.71,1,Mobile,Auto,Newsletter Promo,0.15,87,0.59,2024-01-30 05:54:16.425593,2025-01-29 05:54:16.425593,1,40,Male,Mobile App,Debit Card,No,Cancelled,+57-8746920023,Jason Anderson,0.9998198,Churned
48,48,48,EC-2024-000049,Kathleen,Martin,kathleen_martin@icloud.com,Digital,Annual,Yes,3.31,17,0,Yes,0.72,2.65,Europe,Culture,0.39,0,Mobile,Manual,No Data,0.21,96,0.83,2024-06-28 05:54:16.425597,2025-06-28 05:54:16.425597,5,25,Female,Web,Credit Card,No,Active,+44-7651316675,Kathleen Martin,0.0013374813,Low
49,49,49,EC-2025-000050,Ryan,Green,ryan_green@outlook.com,Digital,Monthly,No,3.1,16,0,No,0.85,13.59,Europe,Politics,0.98,1,Desktop,Manual,Newsletter Promo,0.36,-22,-0.09,2025-01-17 05:54:16.425601,2026-01-17 05:54:16.425601,1,34,Male,Mobile App,Credit Card,No,Cancelled,+44-7866886488,Ryan Green,0.9852337,Churned
50,50,50,EC-2023-000051,Edward,Clark,edward_clark@outlook.com,Espresso,Annual,Yes,1.92,8,1,No,0.26,8.53,Asia,Finance,0.87,1,Mobile,Manual,No Data,0.22,86,0.0,2023-10-23 05:54:16.425605,2024-10-22 05:54:16.425605,5,48,Male,Web,Credit Card,No,Active,+91-7549913295,Edward Clark,0.00023663098,Low
51,51,51,EC-2023-000052,Janet,Carter,janet_carter@mail.com,Digital+Print,Monthly,Yes,3.27,9,0,No,0.02,12.81,North America,Politics,0.38,0,Mobile,Auto,Retention Offer,0.31,69,-0.07,2023-03-16 05:54:16.425610,2024-03-15 05:54:16.425610,4,43,Female,Web,Credit Card,No,Active,+1-682-859-4556,Janet Carter,1.2660429e-05,Low
52,52,52,EC-2024-000053,Jerry,Nelson,jerry_nelson@mail.com,Espresso,Annual,No,2.18,9,2,Yes,0.22,4.67,North America,Politics,0.39,1,Mobile,Auto,No Data,0.24,63,0.01,2024-04-06 05:54:16.425614,2025-04-06 05:54:16.425614,5,28,Male,Mobile App,Debit Card,No,Active,+1-789-451-6527,Jerry Nelson,0.0004428677,Low
53,53,53,EC-2023-000054,Nicholas,Thomas,nicholas_thomas@outlook.com,Digital,Annual,Yes,2.59,24,0,No,0.06,14.68,Others,Culture,0.72,0,Desktop,Auto,No Data,0.54,67,-0.21,2023-06-16 05:54:16.425619,2024-06-15 05:54:16.425619,4,47,Male,Mobile App,Credit Card,No,Active,+85-9383088642,Nicholas Thomas,9.520697e-05,Low
54,54,54,EC-2024-000055,Benjamin,Green,benjamin_green@outlook.com,Espresso,Annual,Yes,5.51,6,0,No,0.1,4.14,Others,Politics,0.54,1,Desktop,Auto,Survey,0.41,-71,0.53,2024-10-03 05:54:16.425623,2025-10-03 05:54:16.425623,3,28,Male,Web,Credit Card,Yes,Active,+61-8454408725,Benjamin Green,1.6028269e-05,Low
55,55,55,EC-2024-000056,Catherine,Brown,catherine_brown@hotmail.com,Digital+Print,Monthly,Yes,5.01,15,0,Yes,0.43,7.33,Others,Technology,0.32,0,Desktop,Auto,No Data,0.4,1,-0.38,2024-06-18 05:54:16.425627,2025-06-18 05:54:16.425627,1,20,Female,Web,Credit Card,No,Active,+85-3781376122,Catherine Brown,8.086131e-05,Low
56,56,56,EC-2025-000057,Carolyn,Sanchez,carolyn_sanchez@icloud.com,Digital+Print,Annual,Yes,1.05,28,0,No,0.23,6.01,Others,Environment,0.68,1,Mobile,Manual,No Data,0.08,-90,-0.07,2025-03-11 05:54:16.425631,2026-03-11 05:54:16.425631,5,57,Female,Web,PayPal,No,Active,+68-5073845458,Carolyn Sanchez,0.011109837,Medium
57,57,57,EC-2023-000058,Chloe,Thompson,chloe_thompson@icloud.com,Digital,Monthly,Yes,4.24,17,2,No,0.52,2.98,North America,Technology,0.57,2,Mobile,Auto,No Data,0.15,23,0.1,2023-10-05 05:54:16.425636,2024-10-04 05:54:16.425636,5,57,Female,Web,Credit Card,Yes,Active,+1-541-352-8950,Chloe Thompson,0.00039525158,Low
58,58,58,EC-2023-000059,Nancy,Taylor,nancy_taylor@yahoo.com,Digital,Monthly,Yes,4.22,5,0,No,0.25,10.38,Asia,Culture,0.37,1,Desktop,Manual,Retention Offer,0.51,52,0.25,2023-11-28 05:54:16.425640,2024-11-27 05:54:16.425640,2,38,Female,Referral,PayPal,No,Active,+91-8440217292,Nancy Taylor,2.9394454e-05,Low
59,59,59,EC-2024-000060,Amanda,Scott,amanda_scott@gmail.com,Digital,Monthly,Yes,1.28,26,1,Yes,0.94,17.22,Europe,Politics,0.86,0,Mobile,Auto,No Data,0.31,72,-0.6,2024-12-02 05:54:16.425643,2025-12-02 05:54:16.425643,1,52,Female,Web,PayPal,No,Cancelled,+44-7540180961,Amanda Scott,0.99959475,Churned
60,60,60,EC-2023-000061,Donna,Hernandez,donna_hernandez@hotmail.com,Digital+Print,Annual,No,4.23,19,2,Yes,0.91,20.67,Others,Politics,0.94,2,Desktop,Auto,Retention Offer,0.32,78,-0.12,2023-02-20 05:54:16.425648,2024-02-20 05:54:16.425648,3,45,Female,Referral,Credit Card,Yes,Active,+31-7464222965,Donna Hernandez,0.032419823,Medium
61,61,61,EC-2024-000062,Julie,Brown,julie_brown@icloud.com,Digital+Print,Annual,Yes,5.31,0,0,Yes,0.57,10.39,Europe,Culture,0.83,0,Desktop,Auto,Newsletter Promo,0.11,70,0.01,2024-09-30 05:54:16.425652,2025-09-30 05:54:16.425652,4,39,Female,Referral,Debit Card,Yes,Active,+44-7355757745,Julie Brown,0.00020490489,Low
62,62,62,EC-2024-000063,Frank,Davis,frank_davis@gmail.com,Digital+Print,Annual,Yes,1.32,0,1,No,0.35,14.47,Europe,Technology,0.88,0,Desktop,Auto,Newsletter Promo,0.06,-35,0.4,2024-04-22 05:54:16.425656,2025-04-22 05:54:16.425656,3,59,Male,Web,PayPal,No,Active,+44-7154347390,Frank Davis,0.0004466286,Low
63,63,63,EC-2023-000064,Anna,Thomas,anna_thomas@icloud.com,Digital,Monthly,Yes,1.62,11,1,No,0.38,10.93,Europe,Technology,0.45,3,Tablet,Auto,No Data,0.69,-2,-0.11,2023-07-07 05:54:16.425660,2024-07-06 05:54:16.425660,2,68,Female,Web,Credit Card,Yes,Active,+44-7172132758,Anna Thomas,0.04398501,Medium
64,64,64,EC-2023-000065,Amy,Clark,amy_clark@gmail.com,Espresso,Monthly,No,4.53,20,1,Yes,0.41,12.0,North America,Technology,0.48,1,Mobile,Manual,No Data,0.24,74,-0.05,2023-09-10 05:54:16.425664,2024-09-09 05:54:16.425664,3,63,Female,Mobile App,PayPal,Yes,Cancelled,+1-566-561-3137,Amy Clark,0.994802,Churned
65,65,65,EC-2023-000066,Laura,Thompson,laura_thompson@mail.com,Digital,Annual,Yes,3.41,27,0,Yes,0.73,8.63,North America,Finance,0.45,1,Mobile,Auto,No Data,0.58,-77,0.07,2023-06-27 05:54:16.425669,2024-06-26 05:54:16.425669,4,35,Female,Web,PayPal,No,Active,+1-221-576-1408,Laura Thompson,0.0002474831,Low
66,66,66,EC-2025-000067,Ryan,Hill,ryan_hill@yahoo.com,Digital+Print,Monthly,No,3.83,1,1,No,0.45,10.78,Asia,Politics,0.84,1,Desktop,Manual,No Data,0.57,-24,0.52,2025-03-13 05:54:16.425673,2026-03-13 05:54:16.425673,1,40,Male,Mobile App,PayPal,Yes,Active,+91-8394087050,Ryan Hill,0.0021255235,Low
67,67,67,EC-2023-000068,Kimberly,Lee,kimberly_lee@outlook.com,Digital,Monthly,No,3.51,3,1,Yes,0.86,12.15,Asia,Culture,0.96,1,Mobile,Manual,Retention Offer,0.3,64,-1.03,2023-06-25 05:54:16.425677,2024-06-24 05:54:16.425677,2,43,Female,Web,Credit Card,No,Active,+91-9956953644,Kimberly Lee,0.0018543625,Low
68,68,68,EC-2023-000069,Amanda,Sanchez,amanda_sanchez@hotmail.com,Digital+Print,Monthly,No,3.59,16,0,No,0.94,7.69,North America,Technology,0.8,2,Mobile,Auto,No Data,0.09,27,0.05,2023-12-17 05:54:16.425681,2024-12-16 05:54:16.425681,5,52,Female,Web,PayPal,Yes,Cancelled,+1-801-551-6123,Amanda Sanchez,0.9881932,Churned
69,69,69,EC-2024-000070,Jonathan,Lewis,jonathan_lewis@gmail.com,Digital+Print,Monthly,Yes,1.01,3,0,No,0.34,9.69,Asia,Finance,0.92,1,Mobile,Manual,No Data,0.19,83,0.58,2024-11-25 05:54:16.425686,2025-11-25 05:54:16.425686,5,46,Male,Web,Credit Card,No,Active,+91-8690059400,Jonathan Lewis,0.01841983,Medium
